text,airline_sentiment
wow thi just blew my mind,2
after last night tribut soundofmus oscars2015 think agre,1
all were entertain,1
is flight on it way wa suppos to take off minut ago websit still show on time not in flight thank,1
juli andrew all the way though wa veri impress no to,2
wish you flew out of atlanta soon,1
juli andrew hand down,1
will flight be leav dalla for la on februari th,1
hi so excit about your lga deal but ve been tri book sinc last week the page never load thx,0
you know it need it on my spotifi stat guiltypleasur,2
ladi gaga she is amaz smiling_face_with_smiling_ey,2
carri,1
new market song let u know what you think,1
juli andrew first but ladi gaga wow me last night carri meh,1
call week ago about ad flight from to my elev they still haven shown up help,0
all are great but have to go with carrieunderwood smiling_face_with_heart eye hand,1
sorri mari martin had it first,1
love all three but you realli can beat the classic,2
flight dal to dca pm tri to check in could not statu pleas,1
heyyyi guyyyi been tri to get through for an hour can someon call me pleas,0
hi virgin on hold for minut are there ani earlier flight from la to nyc tonight earlier than pm,0
congrat on win the award for best deal from an airlin u,2
everyth wa fine until you lost my bag,0
need to chang reserv have virgin credit card do need to modifi on phone to waiv chang fee or can do onlin,1
email your custom servic team let me know if you need the track number,1
hi just book flight but need to add baggag how can do thi,1
your airlin is awesom but your lax loft need to step up it game for dirti tabl and floor,0
not worri it been great ride in new plane with great crew all airlin should be like thi,2
awesom flew yall sat morn ani way we can correct my bill,2
or watch some of the best student film in the countri at foot cmfat35000feet,1
first time fli you all do you have differ rate polici for medium bag thank,1
what is go on with custom servic is there anyway to speak to human asap thank you,0
what happen to doom,1
whi can you supp the biz travel like and have custom servic like neverflyvirginforbusi,0
ve appli more then onc to be member of the inflight crew team im interest flightattend dreampath,2
you re the best whenev begrudgingli use ani other airlin delay and late flight,0
have no interest fli with you after thi will cancel flight my next four flight plan neverflyvirginforbusi,0
it wa disappoint experi which will be share with everi busi travel meet neverflyvirgin,0
have troubl ad thi flight my wife book to my elev account help,0
can bring up my reserv onlin use flight book problem code,1
random what the distribut of elev avatar bet that kitti ha disproportion share,1
fli va but life happen and am tri to chang my trip jperhi can you help va home page will not let me,1
whi is the site down when will it be back up,0
you down with rnp yeah you know me,1
hi did not get point on my elev account for my most recent flight how do add the flight and point to my account,1
like the tv and interest video just disappoint in cancel flightl flight when other flight went out to jfk on saturday,0
just land in lax an hour after should of been here your no late flight bag check is not busi travel friendli nomorevirgin,0
whi is flight redirect,1
is it me or is your websit down btw your new websit isn great user experi time for anoth redesign,0
can check in or add bag your websit isn work ve tri both desktop and mobil,0
let scan in passeng leav the plane than told someon to remov their bag from st class bin uncomfort,0
what is your phone number can find who to call about flight reserv,0
is anyon do anyth there today websit is useless and no one is answer the phone,0
tri to add my boy princ to my ressi sf thi thursday from lax,1
whi must travel miss flight to late flight check bag miss my morn appoint and you lost my busi sfo2lax,0
check out new music,1
how direct flight fll have unexpect layov in vega fuel yet peep next to me bought for vega flight sneaki,0
your no late flight bag check just lost you my busi miss flight and am apt three other peopl on flight had same exp,0
amaz custom servic again two_heart two_heart raeann in sf she the best customerservic virginamerica fli,2
call your servic line and wa hung up on thi is awesom sarcasm,0
your site is trip tri to check in and get the plain text version am reluct to enter ani card info,0
wa schedul for sfo dal flight today chang to th due weather look like flight still on,1
ha getaway deal through may from one way lot of cool citi cheapflight farecompar,2
ha getaway deal through may from one way lot of cool citi cheapflight farecompar,1
ha getaway deal through may from one way lot of cool citi cheapflight farecompar,2
ha getaway deal through may from one way lot of cool citi cheapflight farecompar,1
have great week sun_with_fac airplan,2
come back to phl alreadi we need you to take u out of thi horribl cold pleasecomeback,2
should be concern that am about to fli on plane that need to be delay due to tech stop,0
is the best airlin have flown on easi to chang your reserv help repres comfort fli experi,2
and again anoth rep kick butt naelah repres your team so beauti thank you,2
your beauti front end design is down right now but it wa cool to still book my ticket all your back end wa secur,2
love the team run gate e9 at la tonight wait for delay flight and they kept thing entertain,2
use anoth browser brand with reput built on tech respons doesn have cross browser compat websit,0
and now the flight flight book problem site is total down folk what is the problem,0
like the custom servic but min delay just for connect passeng seem too long va370,0
thank to your outstand nyc jfk crew who move mountain to get me home to san francisco tonight,2
you have the absolut best team and custom servic ever everi time fli with you delight thank you,2
do you provid complimentari upgrad to first class if there are avail seat,1
need to chang my flight that schedul in hour and min wait time on phone im call intern help,0
complet awesom experi last month bo la nonstop thank for such an awesom flight and depart time vabeatsjblu,2
how can watch the oscars2015 on my jfk flight,1
is flight cancel flightl and what do do if it is,1
you are fail your custom becaus your check in process doe not link to tsa pre check,0
u too terribl airlin just gave u hotel hotlin number and said sorri,0
ha flight number from sfo to cabo san luca arriv yet,1
your assist yesterday when cancel flightl our flight wa to give u hotel hotlin shame on you,0
anoth delay flight likingyoulessandless,0
need to regist servic dog for first class ticket from sfo dull the phone queue is an hour or longer pl advis,0
you rock for make it so can watch oscar on my flight redcarpet oscar oscars2015,2
drop track on you,1
alway xoxo,2
whi can we book seat on your flight when we buy them or even dure check in creat so much anxieti frustrat,0
you think pay an extra buck rt for luggag might afford you hire an extra hand at lame,0
best custom servic rep in the world irmafromdalla take the cake,2
can you find u flt out of lax that is sooner than midnight on monday that would be great custom servic grinning_face_with_big_ey,1
pleas provid statu for flight cant imagin it on time a the web indic dude to weather here and or dalla,0
you have amaz staff super help a just ran the princesshalf they have spoil me with comfort,2
paid the premium to fli you across the countri you cancel flight my flight and offer no check fee or upgrad love sad face,0
question is it not possibl to book seat for an infant under it not give me the option but we want seat for him,0
alway have it togeth you re welcom rt you re so welcom,2
flight home to dc sunset globe in backtowint back to work refresh,2
don understand whi you need dm to give me an answer on if you have damag luggag polici,0
doe that mean you don have polici for destroy luggag,0
is there special assist if travel alon kid and infant prioriti board,1
thank you for check in ticket are purchas and custom is happi,2
is your websit ever come back onlin,1
is flight from love field to sfo definit cancel flightl for monday februari,1
is flight out of lga to dfw on time,1
my driver licens is expir by littl over month can fli friday morn use my expir licens,1
have problem flight book problem on the web site keep give me an error and to contact by phone phone is minut wait,0
how do reschedul my cancel flightl flight onlin the chang button is grey out,0
rang but there is wait for minut can book the same ticket through vendor fix your site,0
got flight we were told for today check my email and it for tomorrow thi is unaccept,0
our flight into lga wa cancel flight we re stuck in dalla call to reschedul told could get flight for today,0
whi don ani of the pair includ red wine onli white is offer redwineisbett,0
is the websit down,0
your site seem littl wonk right now may want to have look tri on two browser no cs,0
disappoint that the agent at the design silver statu check in line close to assist all paseng,0
plan to includ austin to it dalla rout topnew arab emir,1
is it normal to receiv no repli from central baggag baggageissu smh,0
at logan airport and wait to checkin for my am flight checkin desk not open whi,0
to jump into the dalla austin market,1
beat ep view take on southwestair va luv investor busi daili,1
lister to my show my on monday,1
to begin dalla austin flight in april ketr,1
congrat you just got all my busi from ewr to sfo lax fuck you fl1289 sfo ewr wa the clincher,0
appli over week ago haven heard back and fli thi week disappoint,0
love to know what your polici is for damag luggag,1
thank you for the follow,2
too mani apolog you the wors airlin don even respond to your cudtom,0
shame on va for make peopl spend money in strand citi when other airlin are land at jfk who will reimburs me,0
dm you,1
can you pleas have flight in sjc have no choic but to fli southwest to vega weary_fac loudly_crying_fac,1
too bad you say it take to day via your confirm email when inquir after week you claim to week,0
flight from bo la tomorrow wa cancel flightl no notif wait time are hour will you rebook on anoth airlin,0
smiling_face_with_sunglass rt you ve met your match got statu on anoth airlin upgrad restr,2
onli way to fli elev gold,2
if onli you guy had flight from cmh,1
lot of apolog be thrown out to custom from what can see veri sad thank for noth worst airlin ever,0
for all my flight stuff wrong and did noth about it had worst flight ever,0
have an issu find miss item on plane can you help me find which airport my plane head to next,1
you will match my americanairlin statu cool,2
met your match got statu on anoth airlin upgrad hear no evil_monkey,1
tri to book flight with you guy and your websit won let me about to lose my busi,0
you suck,0
thank,2
just dm same issu persist,0
becaus we never rec cancel flightlat notic we were left no option to fli out of p drive to la for red eye mon kid,0
tri to book flight your site is down beaming_face_with_smiling_ey,0
you have ani flight fli into boston tomorrow need to be home and you cancel flightl my flight and didn do anyth,0
you stink flight cancel flight from psp to jfk and no notif or abil to rebook disappoint expect better,0
love your guy song we re danc to it for our high school danc revu,2
your websit is down and tri to check in,0
done thank you for the quick respons appar faster than sit on hold,2
nervou about my flight from dc to lax get cancel flightl tomorrow just sent you dm to help me,1
cool pictur of anoth virginamerica plane off our wing what site,2
keep up the great work,2
my good your peopl field are amaz under pressur red_heartfrom texa beatstheoth in crisi pleas fli me to ny,2
thank for great flight from la to boston pilot did great job land in the snow can we go back to la now serious,2
can you pleas get me to the new york area befor monday afternoon,1
thank so much for the awesom support you guy rock,2
seat in row don reclin should mention that on your websit soreback,0
flight delay hour in la due to mechan problem handl like pro but you could have toss u free drink,0
whi cancel flight flight today no precipit to be scare of snowflak snowflak snowflak,0
twitter team you guy kill it for reschedul me asap thank you,2
you guy charg me to reschedul flight that wa then cancel flight and are now refus to refund it what the deal,0
can access your websit from safari on iphon seem to work on mac and ipad need iphon to add passbook,0
on ipad and iphon click the checkin link in the email receiv at hr befor flight,1
your mobil site is broken show header elevateus numofpointsavail number point won let me checkin,0
wa realli look forward to my flight can you let me know when it will be reschedul diehardvirgin,0
whi cancel flight flight vx413 one sec it delay on my to airport the next it cancel flightl gonna email or call me to reschedul,0
did it but there wa problem in the link from the email for check in thank,0
had to chang to anoth airlin to get to dc today whi is abl to land in dc but not you cost me ugh,0
wa so look forward to my first flight with you today but it wa cancel flightl along with the subsequ one,0
when are you put some great deal from pdx to la or from la to pdx show me your love,2
wish can afford to fli with you next friday go back home love everyth about your airlin,2
how are you gonna have deal from dalla to dc but no deal from dc to dalla sad,0
it just bug report guy,1
hold time at call center are bit much,0
like,2
site down help,0
you have the best flight attend ever,2
awesom rt watch nomin film at foot meetthefleet oscar,2
thank so much,2
tri to reset my password email never arriv help,0
the onli airlin base in silicon valley disrupt fcmostinnov incub,2
veri nice done clapping_hand,2
look forward to watch the oscar on my flight home tomorrow might even get someth bubbl to drink,2
what is the reason for the delay of the departur of vx from jfk thi afternoon,0
is today flight from palm spring ca to jfk in ny cancel flightl,0
hahaha face_with_tears_of_joy you guy are amaz love you guy growing_heart,2
sound like fun,2
ani updat on flight from jfk lax,1
spruce moos,1
the cs on your site is right now pleas fix site unus,0
we re on flight vega to boston today check in onlin but our bag count didn regist can fix that somehow,0
classiq luv virgin america greetingz,2
hi tri to do check in but the websit is not work tri differ browser and the problem continu,0
thank for your great custom servic today for help me get all my travel sort out,2
thank guy sweet rout over the rocki airplanemodewason,2
love the music blast at gate in boston while wait for flight to sanfrancisco onli if could get an ice coffe,2
the passeng in flt that assault me shouldn have flown trust he ban crew file report to,0
current bug on websit show select departur citi when select destin citi,0
luggag wa sever dent miss wheel come off baggag claim in san luggag agent miranda think wasn ani help,0
thank you for the easi itinerari shift for impend weather quick painless free,2
if you love to see more girl be inspir to becom pilot rt our free woaw event march at abq,1
thank good time there and back vodkaton the entir flight cocktail_glass sfo,2
beat expect share take off santa cruz sentinel,1
ani plan to start fli direct from dal to la,1
big love gratitud mpower werin oscars2105 vipswagbag avalonhollywood,1
you re do great job ad littl luxuri aesthet that improv the air travel experi thank you keep it up,2
request window seat and confirm window but got stuck in middl seat not good way to treat silver member unamused_fac,0
grand budapest hotel oscarscountdown,1
thi is what you miss next trip to the,1
wtf paid for direct flight on purpos not to have to stop for fuel exhaust frequent flier and noth for inconveni,0
there is someth wrong with you websit in safari iphon,0
thank for gate check my baggag on your full flight dfw lax and give me earli board too sweet,2
alreadi check in so the page expir,0
boo for not refund seat upgrad fee did not want to buy in the first place,0
share rise on q4 financi result usa today,1
add pillow instead of lie flat seat in first class arm race,1
see what you did there,2
way to take advantag of mayweatherpacquiao,1
you know fli virgin for the fight mayweatherpacquiao,1
your inflight team make the experi amaz,2
cutest salt and pepper shaker ever just when think you guy can get ani better you just do,2
move my seat with no notic better seat is cabin select not behind the row select thumbs_down disappoint,0
share up on result,1
fav airlin,2
we have hot femal pilot sweet dca to sfo,2
thumbs_up thumbs_up airplan airplan growing_heart when are you guy go to start fli to pari you re welcom,1
what is your polici on fli after surgeri am still wait for answer so can tell me doctor,1
alreadi contact central baggag sent dm is charg me for the dress that wa in the lost suitcas help,0
thank you,2
is there anyth go on with the websit ve been get lot of error past minut,0
think left someth on the plane yesterday who do call ah,1
need you to follow back in order to dm,1
need to start fli to smiling_face_with_smiling_ey grinning_fac grinning_face_with_big_ey grinning_face_with_smiling_ey,1
they told to check with the airlin regul first so that is whi contact you,1
have just check in flight to sfo from lax been told a atlant fli club gold get no benefit,0
husband and order three drink via my screen and they never came awesom,0
soooo are you guy go to leav the seatbelt light on all flight you can bare call thi turbul,0
what is your polici on fli after surgeri,1
post second consecut full year net profit,1
funni stori your websit is broken you have miss javascript and stylesheet on the checkin process dislik thi,0
would love to do more for virgin just like do for,2
result handili exceed forecast,1
appli for posit in and wa wonder if you guy receiv my applic,1
achiev second year of profit despit revenu pressur,1
give posit outlook but see increas competit,1
tri to check into my am ct flight tmm on the desktop websit and it not work some sort of cach bug so,0
weather delay next few week jfk bo dca,1
check the websit befor you go to the airport,1
do you guy know your check in link from email are broken,0
pilot say we expect choppi land in nyc due to some gusti wind temperatur of about degre the windchil,1
love it can wait for monday return flight mostli just to watch the inflight safeti video again sorrynotsorri,2
lost my luggag day ago on flight vx from lax to iad call everi day no respons pleas give me back my stuff,0
the flight book problem section of your websit seem to be broken on chrome might wanna look into that,0
hi just want to see if you have ani new rout plan thi year for newark love fli you guy and hope to do so more,2
mean probabl inappropri while on board but it on,2
happi to spend the day togeth let do thi,2
is save my saniti right now,1
miss my flight how doe standbi work,1
they were veri understand and help me out thx comp,2
brought it all the way across the countri today see,1
thank you absolut will smiling_face_with_sunglass,2
look like broken link for your asset,0
are you readi let say it togeth noooo turbul today face_blowing_a_kiss,1
the manag itinerari section of your websit seem to be broken for me,0
can check in your site look like thi everi time it load,0
can help thi princess need urgent treatment in nited_states2i old battl cancer could help with flight growing_heart freyasfund,1
may start servic to hawaii from sanfrancisco thi year biztravel,1
other carrier are le than half price for round trip fare am stun,0
wtf is happen in pdx late flight march such that one way from sfo is,0
add dtw and sold,1
how about some free drink on the flight back for the free promo,2
thank,2
momma made it beaming_face_with_smiling_ey beaming_face_with_smiling_ey beaming_face_with_smiling_ey,1
pleas contact me about portfolio left on flight vx from jfk to sfo tonit seat am need it return call,1
help wa on flight from jkf tonight seat left portfolio need it back,1
seattl bound wifey got me the duffl for vday she keeper holla,1
my luggag is gone ve file my paperwork promis call email still no resolut or respons from central luggag,0
debbi baldwin gave rockstar perform of the safeti demo thi even on vx919 las2sfo bestcrew sherock,1
thank,2
thank for take care of on her flight rockstar travel,2
thank for the love soft view travel san to sfo,2
request mileag challeng for statu sever week ago onlin but haven heard back how do get help with thi,0
just tri to book ticket to nyc and face super fun broken style don worri ll keep tri,0
mani thank for the follow ourprincess freyasfund usa bandi look for ani help smiling_face_with_heart eye growing_heart nited_kingdom growing_heart nited_st growing_heart ribbon globe_showing_asia ustralia ribbon,1
nice lofti view silverstatu,1
appli for statu match on feb got confirm email same day still no news though you guy have drop ball late flightli sad_but_relieved_fac,0
is my new go to airlin,1
can you help ourprincess in need of some help in usa ribbon nited_kingdom ribbon nited_st ribbon,1
ador you and am so look forward to my flight to austin in two week,2
wa so glad it wa mention took my first virgin flight few year back and it wa transform experi,2
flight book problem flight to uphold my statu match do tax on ticket count a earn statu point statusmatch virginamerica,1
tri to check in but look like your site is down,0
spend my birthday night with you dal dca get me home,0
sent coupl messag to the email you provid but to no avail will tri again next year cheer,0
first time fli virgin went to sanfrancisco thank for the smooth ride easili my new fav airlin,2
serious though will there not be direct flight from sfo fll in may,0
it fine alreadi done with my purchas but you should tri it just go most of the way through then go back,0
not realli the experi wa hope w forc check in small carri on noth but empti cabin space on board,0
wjere is our luggag so slow at lax,0
to jump into the dalla austin market,1
spoke with repres that offer no solut am loyal custom who fli on a well,0
am deepli disappoint that your birthday promo wa not appli to trip book mere day befor receiv the email,0
what happen to direct flight from sfo fll look in may onli see connect help dontdothistom,0
can you help left my blazer in koopl jacket bag at rd row second seat from right gate t3 lax flight to sfo,1
partner with checkout a mobil payment method to help boost mobil convers rate etailwest payment visa,1
just promot the product is all had problem with southwest and recommend noneoth than the best,2
love you guy but pl get some direct rout la to au,2
would like help with some flight pleas,1
bruh turn down for what vxsafetyd,1
of cours work for and obsess with the entir virgin famili,2
ok first time fli with you tonight,2
dig the swanki pink mood light dure the flight from nyc to sfo just need cabaret singer think about it,1
done but need the receipt asap could you pleas help,1
have and emboss badg and patch superior to the one you are current use,0
on vx399 from jfk to la dirti plane not up to your standard,0
on flight vx399 head to la from jfk dirtiest va plane have ever been on sad for great airlin,0
got it squar away someon pick up a soon a tweet should have tweet sooner winking_fac,2
your avi rental continu button doesn work on your websit to book car tri time on phone thi suck,0
delay to10,0
current in minut of be on hold with cust servic do need to do anyth to add lap child to my reserv,0
add pillow instead of lie flat seat in first class arm race by,1
of cours have fun celebr thank happi chines new year,2
flight book problem last second flight for next week from sfo to san ani chanc you want to gift me promo code sinc love you guy,2
comen bank is joke pleas chang noth but constant problem with thi bank,0
just did how can dm do have to also add me,1
for my grandma ella th she would bday greet from your flight crew she wa stewardess for eastern airlin,2
just bought tix for atx dalla rout thank for ad that love yr airlin yr websit is best transact site ever,2
anytim sugafli,1
gave credit for my late flight flight yesterday great servic that wow moment unexpect gestur,2
need receipt for flight chang can you send one,1
submit statu match request while back and still haven heard fli on monday can you look acceler,0
had me at their safeti video love my first cross countri flight livewelltravel sytycd,2
that doesn look to fat to me it look yummi,2
ceo say southwest jetblu have stray from low cost model,1
brilliant brisk am in boston in cue for vx363,1
atlant plough lone furrow in the middleeast,1
atlant plough lone furrow in the middleeast,1
atlant plough lone furrow in the middleeast,1
omg omg smiling_face_with_heart eye smiling_face_with_heart eye nonstop dalla to austin on virgin sparkl face_screaming_in_fear airplan,2
your plane are realli pretti just thought should know that,2
when are you fli to hawaii,1
pull my hair out tri to book flight with your site doesn work on iphon or ipad don have comput help,0
thank you,2
can get some help with support ticket it been day incid thank you,0
good to be home texa moodlight,2
cannot even open my laptop in seat and paid premium for thi let me out of here,0
am in seat and cannot even open my laptop and paid extra for thi seat,0
if onli you guy were start those flight at the end of the month guess still road trip on feb,1
thank for that been need way to make those austin trip from dca and now you ve come through,2
announc new rout to austin fare from way,1
realli sprint thought you guy were kewl,1
thi is too cool never been on ur plane but now will,2
you should have dollar lax la fare,1
great well deserv,2
fyi the info email address you say to contact in password reset email doesn exist email bounc,0
statu match week have gone by and no news flt next week hope flt will count toward requir cust svc no help,0
your websit suck donkey dick just thought you should know all best,0
you should still develop an app then you will be my favorit airlin,1
all crap channel which is whi pay to watch uk tv,0
got it all set thank,2
no channel thi year,1
onli thing see on passbook is virgin mobil mexico how do integr,1
giant and virgin america match made in heaven,2
thank good also see you friday nwk boom,2
how come you don have an iphon app still use and make me wast paper,0
your back of seat entertain system doe not accept credit card that have an apostroph in the surnam apostrophefail,0
when will vx use all lga slot instead of today ad au make thi le like,0
is help me step up my game tindertip tinderchamp,1
luv ur peopl and product thing is do charg for herbal tea but not black tea not caffein drinker,2
thank you see all soon excit to see the expans of destin spread those wing,2
announc new nonstop connect intro,1
add austin dalla love field rout,1
sad to learn you no longer fli sfo phl hope it return,0
can you tweet me the cancel flight chng fee for flight or can rebook under one of your affili if so who are afili,1
ha the most incred custom servic ve ever experienc so refresh,2
now when will we see virginamerica come to philadelphia phl,1
am dream did you realli just open up rout between dalla and austin and doe thi mean houston might be next,2
omg final,2
to start xweekli a319 flight from to dalla austin on apr avgeek,1
nice to see you expand in texa but don forget about u here in sandiego would love to see more flight out of here,1
kinda suck my earphon jack didn work on my flight they may want to look into that for futur passeng,0
veri poor experi first comput problem now seat malfunct stuck miss meet in san diego,0
to battl on rout via,1
thankyou the dal au rout make my day,2
awesom deal dal au for onli each way,2
miss the nerdbird in san jose,1
love it take on in their backyard consum win when biz compet,2
is fli from love to austin now that is most excel news,2
can we make everi vx plane with nerdbird whi should austin be the onli one get nerd love,1
pleas add more frequenc to pdx portland,1
congrat vx on the new rout airplan party_popp,2
tri that you offer to charg me an addit for new ticket or be strand until thur st time last time,0
can help with flight to get old battl cancer who need treatment in nited_st growing_heart ribbon growing_heart,1
never had bad experi befor but thi one took the cake now extort for carri on item a well,0
had to spend hour worri that item in carryon would be broken stolen sinc couldn carri them on plane or lock bag,0
all of group wa told there wa no more room in the bin when got on the plane wa room for at least bag in my row,0
thank for make my flight from lax to jfk nightmar by forc me to check my carri on bag at the gate,0
have lot of flight to book and your site it not work ve been on the phone wait for over minut,0
am all about the in flight artisan chees and wine pair,2
doe virgin america fli direct from seattl to nyc or boston,1
that classi,2
sure lot of your and jfk lhr flight go lot faster than mph with strong tailwind,2
now it just minu minut until my elev silver upgrad window open freeneversuck grinning_face_with_big_ey thumbs_up,2
save some for tomorrow am,1
whi is it take year to fli home to dalla get your shit togeth,0
club virgin is bump in new york,1
would have been rough trip but luckili we were on virginamerica flight weather,2
is that thestart beaming_face_with_smiling_ey,1
pleas come to minneapoli st paul,1
ye fyi my bff,1
anoth perfect flight how come on your plane the sun visor can stay down other carrier make you rais them,2
nice rt the man of steel might be faster but we have wifi just say sciencebehindtheexperi,2
love the danc littl richard cool bean,2
don use passbook still love you though ll just use my email in the futur,2
thank for the free birthday point all are all right with me,2
do you have an applic for io wa look and onli saw virgin mexico,1
man of steel fli to more citi though and with more frequenc too,0
thank so much for share just ad it to my site,2
good point,1
heard he ha virgin mobil hotspot,1
you got chees plate flight too,1
on all your flight,1
dad on segway is the best part of thi whole infograph,2
are there ani plan for short haul airlin in europ would defiantli fli with you guy,2
wifi and better seat,2
how come abc is the onli one of the network channel you don have,1
start my flight with scold for use an overhead bin that wa then offer to the person seat next to me,0
not onli wa it great but you return my call the day after couldn ask for more myvxexperi,2
while other airlin weren cancel flight flight into bo and help their custom get home virgin wa say good luck,0
dear virgin custom while you re strand in sf for day cost we ll do the veri least we can to accommod you,1
should use thi in their next airlin commerci lol,1
group virgin in with the other now bo weather ha expos their actual cu serv model never flight book problem with virgin again,0
a one of the travel affect by the boston storm shock at virgin complet apathi toward their custom,0
umm so no reason a to whi thi is is there someon differ should contact or contact me to get definit answer,0
tri to make the chang in advanc not just hour prior tri it onlin earlier and it want in chang fee,0
so loyal that drive to nyc from pa to fli virgin sinc you cut philli flight,2
ani way to chang from main cabin to main cabin select on same flight without pay chang fee penalti,1
you guy are perfect a alway wervirgin,2
thank all have some of the best custom servic left in the industri,2
can you give me silver statu for month,1
realli wish you fli out of fargo those fare are amaz,2
mood light on point raising_hand reclin my seat kickin up my foot zzz,0
my flight schedul for pm departur still say on time but no plane at gate ani updat on how long of delay,0
my group got their cancel flightlat fee waiv but can becaus my ticket is book for your rep were no help either pouting_fac,0
are there ani sign up bonu to enrol in elev,1
just got on the pm in newark home to la your folk at ewr are incred letsgohom,2
morn if have question regard elev point flight can dm you,1
still wait to see disappointed_fac,1
wa wonder if you guy reciev my dm and we re abl to potenti respond asap,1
fli lax to sfo and after look at the awesom movi lineup actual wish wa on long haul,2
book out of town with fare from way restr,1
thank,2
thank for take care of that mr happi custom,2
still no refund or word via dm pleas resolv thi issu a your cancel flightl flight wa useless to my assist trip,0
delay due to lack of crew and now delay again becaus there long line for deic still need to improv servic unit,0
thank we fill it out how our luck with thi is it common,2
your eri ord express connect are huge popular now if onli we could have an eri ewr hop,0
even on intern flight glasgow to the then what about orlando to newark all min,1
you think you board flight au1066 too earli think so,0
understand but it tough when there is no way to get to the airport seriou risk of an accid it steep price,1
gate agent hook me up with altern flight if you have way to prevent the constant issu that would rock,0
fli gla mco in few week how long do we have to be at airport for befor departur for both intern and domest ta,1
thank,2
thank it is on the same ticket,2
whi not is it law or polici,1
is the worst nonrefund first class ticket oh becaus when you select global fc their system auto select economi upgrad,0
so can buy tix day befor flight but can transfer the tix flaw secur logic flaw custom servic,0
did start claim but week is unrealist am realli suppos to go that long with out car seat for my child ridicul,0
follow me pleas thi airlin is beautiful heart_suit,2
no don but sure unit have my info on it system,1
if the car seat is lost should just reimburs me for new one thi is not pair of shoe it necess for my child,0
just submit my respons on the link you sent,1
ye david allan send an email with thi number kmm24999563v99860l0km and case,1
that total suck my cousin work at phl said,0
just want to let you know how wonder rosetta the gate agent wa work flight dan to ase let her know she wasappreci,2
ye paper voucher that got on januari th,1
begin of feb call unit they said they would send anoth voucher by mail never got anyth tiredofwait,0
the internet is great thing am email execut in your compani mayb they will respond to me in time manner,0
do need to use chase unit club pa for my yr old son or can he come in with me on my pa,1
and what am suppos to do with that number,1
that weak see ya waving_hand hey,0
flew back other compani sinc unit didnt have an earlier flight,0
lost voucher that wa given in miami aeroport on jan did not use it,1
am tri to book award for septemb and need flight on but they will not show even mani award seat availab,0
sure did had to drive total of hour to get my own bag like to explain that debacl but no one want to talk to me,0
gee that like almost care about ppl more than think more int in have trust adult daughter,1
see we were told repeatedli that the pilot wa late flight and kept get late flightr after we board there wa defibril issu,0
whi no prefer secur line anymor my tsa pre check didn pull on my partner flight platinum spoil,0
newarkliberti airport need to indic differ gate for termin flyingainteasi,0
ye pleas am newli marri and tri to updat my last name on preexist intern flight it seem so easi but,0
how doe unit refus to reissu lost voucher when their plane didn take off due to mechan badcustomerservic,0
also dure the run wa instruct to do shatter my comput,0
ye we ve been with the agent for the last minut one of the agent have been veri rude but thank ladan ha been nice,0
that right with an overnight miami,1
have client with an hr layov at iah dure the day will they have to claim recheck luggag or will it be taken care of,1
