text,airline_sentiment
check add bag websit work tri desktop mobil,negative
let scan passeng leav plane told someon remov bag st class bin uncomfort,negative
phone number find call reserv,negative
anyon anyth today websit useless one answer phone,negative
tri add boy princ ressi sf thursday lax,neutral
must travel miss late check bag miss morn appoint lost busi sfo2lax,negative
check new music,neutral
direct fll unexpect layov vega fuel yet peep next bought vega sneaki,negative
late bag check lost busi miss apt three peopl exp,negative
amaz custom servic two_heart two_heart raeann sf best customerservic virginamerica fli,positive
call servic line hung awesom sarcasm,negative
site trip tri check get plain text version reluct enter card info,negative
schedul sfo dal today chang th due weather look like still,neutral
getaway deal may one way lot cool citi cheapflight farecompar,positive
getaway deal may one way lot cool citi cheapflight farecompar,neutral
getaway deal may one way lot cool citi cheapflight farecompar,positive
getaway deal may one way lot cool citi cheapflight farecompar,neutral
great week sun_with_fac airplan,positive
come back phl alreadi need take u horribl cold pleasecomeback,positive
concern fli plane need delay due tech stop,negative
best airlin flown easi chang reserv help repres comfort fli experi,positive
anoth rep kick butt naelah repres team beauti thank,positive
beauti front end design right cool still book ticket back end secur,positive
love team run gate e9 la tonight wait delay kept thing entertain,positive
use anoth browser brand reput built tech respons cross browser compat websit,negative
book problem site total folk problem,negative
like custom servic min delay connect passeng seem long va370,negative
thank outstand nyc jfk crew move mountain get home san francisco tonight,positive
absolut best team custom servic ever everi time fli delight thank,positive
provid complimentari upgrad first class avail seat,neutral
need chang that schedul hour min wait time phone im call intern help,negative
complet awesom experi last month bo la nonstop thank awesom depart time vabeatsjblu,positive
watch oscars2015 jfk,neutral
cancel flightl,neutral
fail custom check process link tsa pre check,negative
u terribl airlin gave u hotel hotlin number said sorri,negative
number sfo cabo san luca arriv yet,neutral
assist yesterday cancel flightl give u hotel hotlin shame,negative
anoth delay likingyoulessandless,negative
need regist servic dog first class ticket sfo dull phone queue hour longer pl advis,negative
rock make watch oscar redcarpet oscar oscars2015,positive
drop track,neutral
alway xoxo,positive
book seat flight buy even check creat much anxieti frustrat,negative
think pay extra buck rt luggag might afford hire extra hand lame,negative
best custom servic rep world irmafromdalla take cake,positive
find u flt lax sooner midnight monday would great custom servic grinning_face_with_big_ey,neutral
pleas provid statu cant imagin time web indic dude weather dalla,negative
amaz staff super help ran princesshalf spoil comfort,positive
paid premium fli across countri cancel offer check fee upgrad love sad face,negative
question possibl book seat infant give option want seat,negative
alway togeth welcom rt welcom,positive
home dc sunset globe backtowint back work refresh,positive
understand need dm give answer damag luggag polici,negative
mean polici destroy luggag,negative
special assist travel alon kid infant prioriti board,neutral
thank check ticket purchas custom happi,positive
websit ever come back onlin,neutral
love field sfo definit cancel flightl monday februari,neutral
lga dfw time,neutral
driver licens expir littl month fli friday morn use expir licens,neutral
problem book problem web site keep give error contact phone phone minut wait,negative
reschedul cancel flightl flight onlin chang button grey,negative
rang wait minut book ticket vendor fix site,negative
got told today check email tomorrow unaccept,negative
lga cancel flight stuck dalla call reschedul told could get today,negative
pair includ red wine white offer redwineisbett,negative
websit,negative
site seem littl wonk right may want look tri two browser cs,negative
disappoint agent design silver statu check line close assist paseng,negative
plan includ austin dalla rout topnew arab emir,neutral
normal receiv repli central baggag baggageissu smh,negative
logan airport wait checkin checkin desk open,negative
jump dalla austin market,neutral
beat ep view take southwestair va luv investor busi daili,neutral
lister show monday,neutral
begin dalla austin flight april ketr,neutral
congrat got busi ewr sfo lax fuck fl1289 sfo ewr clincher,negative
appli week ago heard back fli week disappoint,negative
love know polici damag luggag,neutral
thank follow,positive
mani apolog wors airlin even respond cudtom,negative
shame va make peopl spend money strand citi airlin land jfk reimburs,negative
dm,neutral
pleas flight sjc choic fli southwest vega weary_fac loudly_crying_fac,neutral
bad say take day via confirm email inquir week claim week,negative
bo la tomorrow cancel flightl notif wait time hour rebook anoth airlin,negative
smiling_face_with_sunglass rt met match got statu anoth airlin upgrad restr,positive
way fli elev gold,positive
guy flight cmh,neutral
lot apolog thrown custom see sad thank noth worst airlin ever,negative
stuff wrong noth worst ever,negative
issu find miss item plane help find airport plane head next,neutral
match americanairlin statu cool,positive
met match got statu anoth airlin upgrad hear evil_monkey,neutral
tri book guy websit let lose busi,negative
suck,negative
thank,positive
dm issu persist,negative
never rec cancel flightlat notic left option fli p drive la red eye mon kid,negative
tri book site beaming_face_with_smiling_ey,negative
flight fli boston tomorrow need home cancel flightl anyth,negative
stink cancel flight psp jfk notif abil rebook disappoint expect better,negative
love guy song danc high school danc revu,positive
websit tri check,negative
done thank quick respons appar faster sit hold,positive
nervou dc lax get cancel flightl tomorrow sent dm help,neutral
cool pictur anoth virginamerica plane wing site,positive
keep great work,positive
good peopl field amaz pressur red_heart texa beatstheoth crisi pleas fli ny,positive
thank great la boston pilot great job land snow go back la serious,positive
pleas get new york area monday afternoon,neutral
thank much awesom support guy rock,positive
seat row reclin mention websit soreback,negative
delay hour la due mechan problem handl like pro could toss u free drink,negative
cancel flight today precipit scare snowflak snowflak snowflak,negative
twitter team guy kill reschedul asap thank,positive
guy charg reschedul cancel flight refus refund deal,negative
access websit safari iphon seem work mac ipad need iphon add passbook,negative
ipad iphon click checkin link email receiv hr,neutral
mobil site broken show header elevateus numofpointsavail number point let checkin,negative
realli look forward let know reschedul diehardvirgin,negative
cancel vx413 one sec delay airport next cancel flightl gonna email call reschedul,negative
problem link email check thank,negative
chang anoth airlin get dc today abl land dc cost ugh,negative
look forward first today cancel flightl along subsequ one,negative
put great deal pdx la la pdx show love,positive
wish afford fli next friday go back home love everyth airlin,positive
gonna deal dalla dc deal dc dalla sad,negative
bug report guy,neutral
hold time call center bit much,negative
like,positive
site help,negative
best attend ever,positive
awesom rt watch nomin film foot meetthefleet oscar,positive
thank much,positive
tri reset password email never arriv help,negative
airlin base silicon valley disrupt fcmostinnov incub,positive
nice done clapping_hand,positive
look forward watch oscar home tomorrow might even get someth bubbl drink,positive
reason delay departur vx jfk afternoon,negative
today palm spring ca jfk ny cancel flightl,negative
hahaha face_with_tears_of_joy guy amaz love guy growing_heart,positive
sound like fun,positive
updat jfk lax,neutral
spruce moos,neutral
cs site right pleas fix site unus,negative
vega boston today check onlin bag count regist fix somehow,negative
classiq luv virgin america greetingz,positive
hi tri check websit work tri differ browser problem continu,negative
thank great custom servic today help get travel sort,positive
thank guy sweet rout rocki airplanemodewason,positive
love music blast gate boston wait sanfrancisco could get ice coffe,positive
passeng flt assault flown trust ban crew file report,negative
current bug websit show select departur citi select destin citi,negative
luggag sever dent miss wheel come baggag claim san luggag agent miranda think help,negative
thank easi itinerari shift impend weather quick painless free,positive
love see girl inspir becom pilot rt free woaw event march abq,neutral
thank good time back vodkaton entir cocktail_glass sfo,positive
beat expect share take santa cruz sentinel,neutral
plan start fli direct dal la,neutral
big love gratitud mpower werin oscars2105 vipswagbag avalonhollywood,neutral
great job ad littl luxuri aesthet improv air travel experi thank keep,positive
request window seat confirm window got stuck middl seat good way treat silver member unamused_fac,negative
grand budapest hotel oscarscountdown,neutral
miss next trip,neutral
wtf paid direct purpos stop fuel exhaust frequent flier noth inconveni,negative
someth wrong websit safari iphon,negative
thank gate check baggag full dfw lax give earli board sweet,positive
alreadi check page expir,negative
boo refund seat upgrad fee want buy first place,negative
share rise q4 financi result usa today,neutral
add pillow instead lie flat seat first class arm race,neutral
see,positive
way take advantag mayweatherpacquiao,neutral
know fli virgin fight mayweatherpacquiao,neutral
inflight team make experi amaz,positive
cutest salt pepper shaker ever think guy get better,positive
move seat notic better seat cabin select behind row select thumbs_down disappoint,negative
share result,neutral
fav airlin,positive
hot femal pilot sweet dca sfo,positive
thumbs_up thumbs_up airplan airplan growing_heart guy go start fli pari welcom,neutral
polici fli surgeri still wait answer tell doctor,neutral
alreadi contact central baggag sent dm charg dress lost suitcas help,negative
thank,positive
anyth go websit get lot error past minut,negative
think left someth plane yesterday call ah,neutral
need follow back order dm,neutral
need start fli smiling_face_with_smiling_ey grinning_fac grinning_face_with_big_ey grinning_face_with_smiling_ey,neutral
told check airlin regul first contact,neutral
check sfo lax told atlant fli club gold get benefit,negative
husband order three drink via screen never came awesom,negative
soooo guy go leav seatbelt light bare call turbul,negative
polici fli surgeri,neutral
post second consecut full year net profit,neutral
funni stori websit broken miss javascript stylesheet checkin process dislik,negative
would love virgin like,positive
result handili exceed forecast,neutral
appli posit wonder guy receiv applic,neutral
achiev second year profit despit revenu pressur,neutral
give posit outlook see increas competit,neutral
tri check ct tmm desktop websit work sort cach bug so,negative
weather delay next week jfk bo dca,neutral
check websit go airport,neutral
guy know check link email broken,negative
pilot say expect choppi land nyc due gusti wind temperatur degre windchil,neutral
love wait monday return mostli watch inflight safeti video sorrynotsorri,positive
lost luggag day ago vx lax iad call everi day respons pleas give back stuff,negative
book problem section websit seem broken chrome might wanna look,negative
hi want see new rout plan year newark love fli guy hope,positive
mean probabl inappropri board,positive
happi spend day togeth let,positive
save saniti right,neutral
miss standbi work,neutral
understand help thx comp,positive
brought way across countri today see,neutral
thank absolut smiling_face_with_sunglass,positive
look like broken link asset,negative
readi let say togeth noooo turbul today face_blowing_a_kiss,neutral
manag itinerari section websit seem broken,negative
check site look like everi time load,negative
help princess need urgent treatment nited_st old battl cancer could help flight growing_heart freyasfund,neutral
may start servic hawaii sanfrancisco year biztravel,neutral
carrier le half price round trip fare stun,negative
wtf happen pdx late march one way sfo,negative
add dtw sold,neutral
free drink back free promo,positive
thank,positive
momma made beaming_face_with_smiling_ey beaming_face_with_smiling_ey beaming_face_with_smiling_ey,neutral
pleas contact portfolio left vx jfk sfo tonit seat need return call,neutral
help jkf tonight seat left portfolio need back,neutral
seattl bound wifey got duffl vday keeper holla,neutral
luggag gone file paperwork promis call email still resolut respons central luggag,negative
debbi baldwin gave rockstar perform safeti demo even vx919 las2sfo bestcrew sherock,neutral
thank,positive
thank take care rockstar travel,positive
thank love soft view travel san sfo,positive
request mileag challeng statu sever week ago onlin heard back get help,negative
tri book ticket nyc face super fun broken style worri keep tri,negative
mani thank follow ourprincess freyasfund usa bandi look help smiling_face_with_heart eye growing_heart nited_kingdom growing_heart nited_st growing_heart ribbon globe_showing_asia ustralia ribbon,neutral
nice lofti view silverstatu,neutral
appli statu match feb got confirm email day still news though guy drop ball late flightli sad_but_relieved_fac,negative
new go airlin,neutral
help ourprincess need help usa ribbon nited_kingdom ribbon nited_st ribbon,neutral
ador look forward austin two week,positive
glad mention took first virgin year back transform experi,positive
book problem uphold statu match tax ticket count earn statu point statusmatch virginamerica,neutral
tri check look like site,negative
spend birthday night dal dca get home,negative
sent coupl messag email provid avail tri next year cheer,negative
first time fli virgin went sanfrancisco thank smooth ride easili new fav airlin,positive
serious though direct flight sfo fll may,negative
fine alreadi done purchas tri go way go back,negative
realli experi hope w forc check small carri noth empti cabin space board,negative
wjere luggag slow lax,negative
jump dalla austin market,neutral
spoke repres offer solut loyal custom fli well,negative
deepli disappoint birthday promo appli trip book mere day receiv email,negative
happen direct flight sfo fll look may see connect help dontdothistom,negative
help left blazer koopl jacket bag rd row second seat right gate t3 lax sfo,neutral
partner checkout mobil payment method help boost mobil convers rate etailwest payment visa,neutral
promot product problem southwest recommend noneoth best,positive
love guy pl get direct rout la au,positive
would like help flight pleas,neutral
bruh turn vxsafetyd,neutral
cours work obsess entir virgin famili,positive
ok first time fli tonight,positive
dig swanki pink mood light nyc sfo need cabaret singer think,neutral
done need receipt asap could pleas help,neutral
emboss badg patch superior one current use,negative
vx399 jfk la dirti plane standard,negative
vx399 head la jfk dirtiest va plane ever sad great airlin,negative
got squar away someon pick soon tweet tweet sooner winking_fac,positive
avi rental continu button work websit book car tri time phone suck,negative
delay to10,negative
current minut hold cust servic need anyth add lap child reserv,negative
add pillow instead lie flat seat first class arm race,neutral
cours fun celebr thank happi chines new year,positive
book problem last second next week sfo san chanc want gift promo code sinc love guy,positive
comen bank joke pleas chang noth constant problem bank,negative
dm also add,neutral
grandma ella th would bday greet crew stewardess eastern airlin,positive
bought tix atx dalla rout thank ad love yr airlin yr websit best transact site ever,positive
anytim sugafli,neutral
gave credit late yesterday great servic wow moment unexpect gestur,positive
need receipt chang send one,neutral
submit statu match request back still heard fli monday look acceler,negative
safeti video love first cross countri livewelltravel sytycd,positive
look fat look yummi,positive
ceo say southwest jetblu stray low cost model,neutral
brilliant brisk boston cue vx363,neutral
atlant plough lone furrow middleeast,neutral
atlant plough lone furrow middleeast,neutral
atlant plough lone furrow middleeast,neutral
omg omg smiling_face_with_heart eye smiling_face_with_heart eye nonstop dalla austin virgin sparkl face_screaming_in_fear airplan,positive
plane realli pretti thought know,positive
fli hawaii,neutral
pull hair tri book site work iphon ipad comput help,negative
thank,positive
get help support ticket day incid thank,negative
good home texa moodlight,positive
cannot even open laptop seat paid premium let,negative
seat cannot even open laptop paid extra seat,negative
guy start flight end month guess still road trip feb,neutral
thank need way make austin trip dca come,positive
announc new rout austin fare way,neutral
realli sprint thought guy kewl,neutral
cool never ur plane,positive
dollar lax la fare,neutral
great well deserv,positive
fyi info email address say contact password reset email exist email bounc,negative
statu match week gone news flt next week hope flt count toward requir cust svc help,negative
websit suck donkey dick thought know best,negative
still develop app favorit airlin,neutral
crap channel pay watch uk tv,negative
got set thank,positive
channel year,neutral
thing see passbook virgin mobil mexico integr,neutral
giant virgin america match made heaven,positive
thank good also see friday nwk boom,positive
come iphon app still use make wast paper,negative
back seat entertain system accept credit card apostroph surnam apostrophefail,negative
vx use lga slot instead today ad au make le like,negative
help step game tindertip tinderchamp,neutral
luv ur peopl product thing charg herbal tea black tea caffein drinker,positive
thank see soon excit see expans destin spread wing,positive
announc new nonstop connect intro,neutral
add austin dalla love field rout,neutral
sad learn longer fli sfo phl hope return,negative
tweet cancel chng fee rebook one affili afili,neutral
incred custom servic ever experienc refresh,positive
see virginamerica come philadelphia phl,neutral
dream realli open rout dalla austin mean houston might next,positive
omg final,positive
start xweekli a319 flight dalla austin apr avgeek,neutral
nice see expand texa forget u sandiego would love see flight,neutral
kinda suck earphon jack work may want look futur passeng,negative
poor experi first comput problem seat malfunct stuck miss meet san diego,negative
battl rout via,neutral
thankyou dal au rout make day,positive
awesom deal dal au way,positive
miss nerdbird san jose,neutral
love take backyard consum win biz compet,positive
fli love austin excel news,positive
make everi vx plane nerdbird austin one get nerd love,neutral
pleas add frequenc pdx portland,neutral
congrat vx new rout airplan party_popp,positive
tri offer charg addit new ticket strand thur st time last time,negative
help flight get old battl cancer need treatment nited_st growing_heart ribbon growing_heart,neutral
never bad experi one took cake extort carri item well,negative
spend hour worri item carryon would broken stolen sinc carri plane lock bag,negative
group told room bin got plane room least bag row,negative
thank make lax jfk nightmar forc check carri bag gate,negative
lot flight book site work phone wait minut,negative
artisan chees wine pair,positive
virgin america fli direct seattl nyc boston,neutral
classi,positive
sure lot jfk lhr flight go lot faster mph strong tailwind,positive
minu minut elev silver upgrad window open freeneversuck grinning_face_with_big_ey thumbs_up,positive
save tomorrow,neutral
take year fli home dalla get shit togeth,negative
club virgin bump new york,neutral
would rough trip luckili virginamerica weather,positive
thestart beaming_face_with_smiling_ey,neutral
pleas come minneapoli st paul,neutral
ye fyi bff,neutral
anoth perfect come plane sun visor stay carrier make rais,positive
nice rt man steel might faster wifi say sciencebehindtheexperi,positive
love danc littl richard cool bean,positive
use passbook still love though use email futur,positive
thank free birthday point right,positive
applic io look saw virgin mexico,neutral
man steel fli citi though frequenc,negative
thank much share ad site,positive
good point,neutral
heard virgin mobil hotspot,neutral
got chees plate flight,neutral
flight,neutral
dad segway best part whole infograph,positive
plan short haul airlin europ would defiantli fli guy,positive
wifi better seat,positive
come abc one network channel,neutral
start scold use overhead bin offer person seat next,negative
great return call day ask myvxexperi,positive
airlin cancel flight flight bo help custom get home virgin say good luck,negative
dear virgin custom strand sf day cost least accommod,neutral
use next airlin commerci lol,neutral
group virgin other bo weather expos actual cu serv model never book problem virgin,negative
one travel affect boston storm shock virgin complet apathi toward custom,negative
umm reason someon differ contact contact get definit answer,negative
tri make chang advanc hour prior tri onlin earlier want chang fee,negative
loyal drive nyc pa fli virgin sinc cut philli flight,positive
way chang main cabin main cabin select without pay chang fee penalti,neutral
guy perfect alway wervirgin,positive
thank best custom servic left industri,positive
give silver statu month,neutral
realli wish fli fargo fare amaz,positive
mood light point raising_hand reclin seat kickin foot zzz,negative
schedul pm departur still say time plane gate updat long delay,negative
group got cancel flightlat fee waiv ticket book rep help either pouting_fac,negative
sign bonu enrol elev,neutral
got pm newark home la folk ewr incred letsgohom,positive
morn question regard elev point flight dm,neutral
still wait see disappointed_fac,neutral
wonder guy reciev dm abl potenti respond asap,neutral
fli lax sfo look awesom movi lineup actual wish long haul,positive
book town fare way restr,neutral
thank,positive
thank take care mr happi custom,positive
still refund word via dm pleas resolv issu cancel flightl useless assist trip,negative
delay due lack crew delay long line deic still need improv servic unit,negative
thank fill luck common,positive
eri ord express connect huge popular could eri ewr hop,negative
even intern glasgow orlando newark min,neutral
think board au1066 earli think,negative
understand tough way get airport seriou risk accid steep price,neutral
gate agent hook altern flight way prevent constant issu would rock,negative
fli gla mco week long airport departur intern domest ta,neutral
thank,positive
thank ticket,positive
law polici,neutral
worst nonrefund first class ticket oh select global fc system auto select economi upgrad,negative
buy tix day transfer tix flaw secur logic flaw custom servic,negative
start claim week unrealist realli suppos go long car seat child ridicul,negative
follow pleas airlin beautiful heart_suit,positive
sure unit info system,neutral
car seat lost reimburs new one pair shoe necess child,negative
submit respons link sent,neutral
ye david allan send email number kmm24999563v99860l0km case,neutral
total suck cousin work phl said,negative
want let know wonder rosetta gate agent work dan ase let know wasappreci,positive
ye paper voucher got januari th,neutral
begin feb call unit said would send anoth voucher mail never got anyth tiredofwait,negative
internet great thing email execut compani mayb respond time manner,negative
need use chase unit club pa yr old son come pa,neutral
suppos number,neutral
that weak see ya waving_hand hey,negative
flew back compani sinc unit didnt earlier,negative
lost voucher given miami aeroport jan use,neutral
tri book award septemb need flight show even mani award seat availab,negative
sure drive total hour get bag like explain debacl one want talk,negative
gee like almost care ppl think int trust adult daughter,neutral
see told repeatedli pilot late kept get late flightr board defibril issu,negative
prefer secur line anymor tsa pre check pull partner platinum spoil,negative
newarkliberti airport need indic differ gate termin flyingainteasi,negative
ye pleas newli marri tri updat last name preexist intern seem easi,negative
unit refus reissu lost voucher plane take due mechan badcustomerservic,negative
also run instruct shatter comput,negative
ye agent last minut one agent rude thank ladan nice,negative
right overnight miami,neutral
client hr layov iah day claim recheck luggag taken care,neutral
tri find loaner seat new use use car seat illeg accord safeti regul,neutral
dmed detail,neutral
iah charlott baggag claim rep latric customerservic non exist ignor custom inappropri touch custom,negative
kewl also let know overhead bin row inop love good abbrev,neutral
thank help got need issu guess sit awhil longer,positive
would love respond websit saw realli long form busi new seat bad,negative
refund voucher anoth differ airlin expens today hour drive inconveni,negative
receiv call back day infant car seat suppos go anywher child,negative
thank concern contact custom care upon return australia,neutral
well sit ground time wait gate tiredofthi,negative
airport snow remov method keep good work folk cessna becom,positive
need guy book plane concern travel someon els move forward,negative
measli certif appreci loyal custom wait hr tarmac ua1116 unaccept,negative
email address usernam sign avail,negative
thank abl claim interim expens cost stuff,positive
rude rude,negative
get board pa austrian airlin codeshar rebook incl hour layov stuck outsid sec,negative
receiv flight unit truli break guitar unitedbreaksguitar wantmymoneyback,negative
flew telaviv paid third suitcas even make plane besid impolit servic,negative
bag still colo spring disabl search unfamiliar airport look bag good outcom,negative
shame flex ticket transfer rule even call neurosurgeri icu enough,negative
denver said handl baggag made colo spring gave number call help either,negative
guy need seriou train custom servic mani better option put way guy handl ur mistak,negative
ord dca,neutral
found problem avoid like plagu told find supervisor,negative
zcc82u cancel advanc need connect reschedul link help help gf wait month see,negative
fli,negative
addit first delay hour arriv destin hr late,negative
cancel flight rebook u ad drive denver kc thank,neutral
announc pre board address mobil disabl requir travel lot stuff preboard,neutral
flew unit last month experi awesom,positive
travel book thru unit group dept okc ticket agent le will help connect lax,negative
upset disabl servic told one employe carri medic equip rude,negative
thnx quick repli think assist intl grp put consider inconveni today,negative
wont transfer ticket accompani yr old activ militari mom emerg brain surgeri wow,negative
week late flightr still receiv mile mileageplu gift card starbuck card hand,negative
alway hope improv,negative
yet complain guy check luggag throw bag around unfortun coincid hope,negative
okc ticket agent roger mclarren sp le help intl group travel problem find supervisor help,negative
mobil app need construct ground o categori expens get right,negative
anoth fail unit ticket agent okc le help could care le problem american come,negative
also work wc coach good thing bird land ahead schedul use wc stat,positive
o control rather app new,neutral
sent email custom care tell may break crying_fac sincer hope help,negative
silli fli delta today unit club staff attend surli unhelp alway seem bother peski folk,negative
phone number find call reserv,negative
well fix miss buddi th bday neglig attempt make,negative
believ help custom servic like said want number someon fix,negative
help baggag servic desk said bc tsa screen fll bag made bag ewr,negative
mobil board pa disappear phone stand line board second time week hmm,negative
record rozana newark love help choosekind,positive
last night ord lga,neutral
thx updat,positive
thank,neutral
dm nut,neutral
explain eager attend tri ask vision guid dog,negative
point ask detail servicedog book crew read continu,negative
tri one avail bogota everyon rude houston stuck hour guy,negative
worst2unitedflightsev ua la iad mechan problem took land fix delay wtfodd,negative
despit bag make newark good inform email track updat help,positive
go ua outbound last thur delay hr long delay worst2unitedflightsev,negative
worst2unitedflightsev ua1429 iad la mechan problem switch aircraft delay hour,negative
crash tri check,negative
wow deal plu seat avail easi chang make custom happi,positive
thank info alreadi knew,neutral
airlin troubl winter get good custom servic contact negoti resolut,neutral
logan board gong show due lax carri enforc bin full coat room bag need better system,negative
thank,neutral
blackmail pay extra return ticket nullifi san francisco airport terribl servic rep scam,negative
email address reach long dm,neutral
disappoint didnt honor credit given ur mistak take busi elsewher victory_hand,negative
ua1673 still wait suppos depart,negative
credit last trip never came mail,negative
ok month wait hear airlin gave quit bit day request terribl servic,negative
process ever end still wait repli sinc month pathet customerservic,negative
go websit book problem three ticket today boot system umpteen time,negative
get account number websit say email unavail,negative
need book two one way order fli unaccompani minor,neutral
receiv bag last night still miss one,negative
need upgrad seat even economi plu like sit concret bench,negative
pl help babi hannah get life save surgeri requir need help pl donat rt,neutral
bet wont honour like mine ey,neutral
nd also delay pilot board sit schedul,negative
guess much ask huh,neutral
hard stay upset someon least tri show remors,negative
way simpl apolog go long way even hollow one obviou care well,negative
one time thing either shock pattern repeat neglect disrespect,negative
finger cross intact disappoint experi actual say enjoy use,negative
incred easi fix would rather stay comfort zone get forc mine,negative
juli zero excus date system caus problem like,negative
everyon around u sit friend famili member book ticket octob decemb bought,negative
sure talk go nonstop flight sna sfo sfo ewr,negative
move talk servic,negative
pleas good weekend,neutral
ask legitim question systemwid v local problem got back unrel flightd copi past better,negative
time call need ski go airport get faith unit,negative
see guy amaz one compani continu make mistak yet fail held account error,negative
tourist wonder super tide tide centuri french coast,neutral
yeah sorri alway problem unit intern reput problem,negative
yall probabl work,neutral
mayb would care hear went whoever listen issu caus,negative
wonder share fb insta would produc number charact realli limit stori tell,negative
tell number call left airport neglig pilot staff,negative
could email resent doesnt appear arriv,negative
ye pleas tri get pop newark,neutral
follow order dm come,negative
unit coupon make broken entertain system hour serious ridicul learncustomerservic,negative
drop bag overnight leav week suppos hold bag,negative
dm detail still respons book today,negative
know probabl way get cheaper airfar ticket leav hour folded_hand,neutral
someon pleas explain process happen properti found plane passeng leav heathrow,neutral
abl dm confirm number,negative
sent messag let know got twitter liter also realli go stuck hr,negative
unhappi respons complaint email nd feb ref aw custom servic,negative
dm work,neutral
privat jet would cool work tri,positive
given option use unit travelbank recent book problem help use recoup fund thank,negative
common keep paper work readi delay flight meet,negative
yul ord,neutral
yep correct got email cancel flightl matter atl delay thx,negative
problem get fll iah sent dm make connect pleas let know,negative
done done,neutral
thank sent,positive
ground montreal ua3659 miss connect ua3417 st loui help privat jet,negative
frustrat nervou,negative
one make difficult,negative
child someon issu fli prepar ahead time reduc distress caus plane,negative
get cancel flightl hour take,negative
alway happen guy make travel incred stress uncomfort good busi,negative
someon sever anxieti one person help next,negative
seek go client cant get need refund fill form confid work past indic,negative
thnx respons bot seem improv could easili attain st class servic realli worth,neutral
